County,State,Outbreak Date,Flock Type,Flock Size
Rice,Kansas,12/13/2023,Commercial Table Egg Layer,700000
Merced,California,12/13/2023,Commercial Broiler Production,183100
Merced,California,12/13/2023,Commercial Table Egg Layer,1358600
Darke,Ohio,12/14/2023,Commercial Table Egg Layer,522300
Scott,Arkansas,12/14/2023,WOAH Non-Poultry,180
Clatsop,Oregon,12/14/2023,WOAH Non-Poultry,30
Latah,Idaho,12/15/2023,WOAH Poultry,200
Waseca,Minnesota,12/15/2023,WOAH Non-Poultry,90
Edmunds,South Dakota,12/18/2023,Commercial Upland Gamebird Producer,1000
Sonoma,California,12/18/2023,WOAH Poultry,38100
Rice,Kansas,12/18/2023,WOAH Non-Poultry,100
Sonoma,California,12/18/2023,Commercial Table Egg Layer,497700
Barton,Kansas,12/19/2023,WOAH Non-Poultry,70
Lassen,California,12/19/2023,WOAH Non-Poultry,90
Rice,Kansas,12/19/2023,Commercial Table Egg Layer,800000
Mcpherson,Kansas,12/19/2023,WOAH Poultry,20000
Sonoma,California,12/19/2023,Commercial Duck Meat Bird,3600
Muskegon,Michigan,12/19/2023,Commercial Turkey Meat Bird,47900
King,Washington,12/19/2023,WOAH Poultry,90
Charles Mix,South Dakota,12/20/2023,Commercial Upland Gamebird Producer,50
Merced,California,12/20/2023,Commercial Table Egg Layer,243300
Mahaska,Iowa,12/20/2023,WOAH Non-Poultry,30
Benton,Oregon,12/20/2023,WOAH Non-Poultry,50
Merced,California,12/20/2023,Commercial Turkey Meat Bird,73700
Edmunds,South Dakota,12/21/2023,Commercial Upland Gamebird Producer,3800
Dodge,Nebraska,12/21/2023,WOAH Non-Poultry,40
Merced,California,12/26/2023,Commercial Table Egg Layer,709000
Garfield,Oklahoma,12/27/2023,WOAH Non-Poultry,30
Hardin,Ohio,12/27/2023,Commercial Table Egg Pullets,1363900
Northumberland,Pennsylvania,12/27/2023,Commercial Raised for Release Upland Game Bird,98300
Muskegon,Michigan,12/27/2023,Commercial Turkey Meat Bird,31500
Todd,Minnesota,12/27/2023,Commercial Turkey Meat Bird,78800
Missoula,Montana,12/28/2023,WOAH Non-Poultry,6
Sonoma,California,12/28/2023,Commercial Table Egg Layer,52400
Sonoma,California,12/28/2023,Commercial Table Egg Layer,37300
Audrain,Missouri,12/28/2023,WOAH Poultry,330
Marin,California,12/28/2023,Commercial Table Egg Pullets,151000
Mcintosh,North Dakota,12/29/2023,WOAH Non-Poultry,110
Carson,Texas,12/29/2023,WOAH Non-Poultry,30
Edmunds,South Dakota,12/30/2023,Commercial Upland Gamebird Producer,1400
Merced,California,1/3/2024,Commercial Broiler Production,534800
Sonoma,California,1/3/2024,Commercial Broiler Production,77900
Merced,California,1/3/2024,Commercial Table Egg Layer,764300
Rice,Kansas,1/4/2024,Commercial Table Egg Pullets,240000
Washburn,Wisconsin,1/5/2024,Commercial Turkey Meat Bird,41000
Merced,California,1/8/2024,WOAH Non-Poultry,30
Sacramento,California,1/8/2024,WOAH Non-Poultry,30
Arapahoe,Colorado,1/8/2024,WOAH Non-Poultry,20
Sherburne,Minnesota,1/10/2024,WOAH Non-Poultry,10
Mitchell,Kansas,1/10/2024,Commercial Upland Gamebird Producer,32000
Mitchell,Kansas,1/10/2024,Commercial Upland Gamebird Producer,3700
York,Maine,1/10/2024,WOAH Non-Poultry,60
Mitchell,Kansas,1/11/2024,Commercial Raised for Release Upland Game Bird,1400
Barnstable,Massachusetts,1/16/2024,WOAH Non-Poultry,150
Cascade,Montana,1/16/2024,WOAH Non-Poultry,50
Mitchell,Kansas,1/16/2024,WOAH Poultry,220
Spink,South Dakota,1/16/2024,Commercial Raised for Release Upland Game Bird,1900
Horry,South Carolina,1/17/2024,WOAH Non-Poultry,190
Merced,California,1/18/2024,Commercial Table Egg Pullets,285600
Mitchell,Kansas,1/22/2024,Commercial Upland Gamebird Producer,5800
Orangeburg,South Carolina,1/22/2024,WOAH Non-Poultry,40
Edmunds,South Dakota,1/23/2024,Commercial Upland Gamebird Producer,22200
Kennebec,Maine,1/25/2024,WOAH Non-Poultry,40
Daviess,Indiana,1/25/2024,Commercial Turkey Meat Bird,13100
De Soto,Florida,1/26/2024,WOAH Non-Poultry,660
Placer,California,1/31/2024,WOAH Non-Poultry,20
Wayne,Pennsylvania,2/6/2024,WOAH Non-Poultry,360
Essex,Massachusetts,2/6/2024,WOAH Non-Poultry,20
Gage,Nebraska,2/6/2024,Commercial Broiler Production,102000
Owyhee,Idaho,2/8/2024,WOAH Non-Poultry,9
Delta,Colorado,2/8/2024,Commercial Broiler Breeder,66500
Miami-dade,Florida,2/8/2024,Live Bird Market,1500
Lenoir,North Carolina,2/9/2024,Commercial Turkey Meat Bird,32400
Schuylkill,Pennsylvania,2/12/2024,WOAH Non-Poultry,30
Twin Falls,Idaho,2/12/2024,WOAH Non-Poultry,20
Kanawha,West Virginia,2/16/2024,WOAH Non-Poultry,250
Duplin,North Carolina,2/20/2024,Commercial Turkey Meat Bird,20900
Franklin,Ohio,2/21/2024,WOAH Non-Poultry,10
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,12300
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,28500
Dallas,Missouri,2/21/2024,Commercial Turkey Meat Bird,31000
Charles,Maryland,2/22/2024,WOAH Non-Poultry,30
Allen,Indiana,2/23/2024,WOAH Non-Poultry,50
Dallas,Missouri,2/23/2024,WOAH Poultry,20300
Onondaga,New York,2/23/2024,WOAH Non-Poultry,10
Monroe,New York,2/26/2024,WOAH Non-Poultry,20
Stevens,Minnesota,2/27/2024,WOAH Non-Poultry,20
Mahoning,Ohio,2/27/2024,WOAH Non-Poultry,140
Essex,Massachusetts,3/7/2024,WOAH Poultry,70
Moore,Texas,3/11/2024,WOAH Non-Poultry,280
Clay,Minnesota,3/11/2024,WOAH Non-Poultry,80
Hutchinson,South Dakota,3/12/2024,Commercial Turkey Meat Bird,31200
Klamath,Oregon,3/14/2024,WOAH Non-Poultry,10
Knox,Maine,3/18/2024,WOAH Non-Poultry,40
Deaf Smith,Texas,3/20/2024,WOAH Non-Poultry,50
Guilford,North Carolina,3/28/2024,WOAH Non-Poultry,80
Ionia,Michigan,4/2/2024,Commercial Table Egg Layer,1928500
Parmer,Texas,4/2/2024,Commercial Table Egg Layer,1894100
Ionia,Michigan,4/9/2024,Commercial Table Egg Layer,2147500
Grant,Kansas,4/10/2024,WOAH Poultry,17700
Meeker,Minnesota,4/11/2024,Commercial Turkey Meat Bird,68500
Roosevelt,New Mexico,4/12/2024,Commercial Breeder (Multiple Bird Species),61500
Roosevelt,New Mexico,4/15/2024,Commercial Breeder (Multiple Bird Species),15900
Miami-dade,Florida,4/15/2024,Live Bird Market,90
Ionia,Michigan,4/16/2024,Commercial Table Egg Layer,2422700
Roosevelt,New Mexico,4/17/2024,Commercial Breeder (Multiple Bird Species),51800
Newaygo,Michigan,4/17/2024,Commercial Turkey Meat Bird,67200
Ottawa,Michigan,4/24/2024,Commercial Turkey Meat Bird,104000
Cassia,Idaho,4/25/2024,WOAH Non-Poultry,40
Gratiot,Michigan,4/26/2024,Commercial Turkey Meat Bird,27700
Clay,Florida,4/30/2024,WOAH Non-Poultry,20
Gratiot,Michigan,5/2/2024,Commercial Turkey Meat Bird,26400
Dodge,Minnesota,5/2/2024,Commercial Breeder Operation,14100
Cassia,Idaho,5/6/2024,WOAH Non-Poultry,600
San Francisco,California,5/9/2024,Live Bird Market,700
Ionia,Michigan,5/10/2024,WOAH Non-Poultry,90
Jerome,Idaho,5/10/2024,WOAH Non-Poultry,20
Jerome,Idaho,5/10/2024,WOAH Poultry,1100
Jerome,Idaho,5/20/2024,WOAH Poultry,80
Morrison,Minnesota,5/21/2024,Commercial Turkey Meat Bird,51900
Stearns,Minnesota,5/21/2024,Commercial Turkey Breeder Hens,6800
Stearns,Minnesota,5/21/2024,Commercial Turkey Meat Bird,17100
Meeker,Minnesota,5/21/2024,Commercial Table Egg Layer,1368800
Stearns,Minnesota,5/21/2024,Commercial Turkey Meat Bird,7000
Sioux,Iowa,5/28/2024,Commercial Table Egg Layer,4287400
Stearns,Minnesota,5/29/2024,Commercial Turkey Meat Bird,32400
Stearns,Minnesota,5/31/2024,Commercial Turkey Meat Bird,43000
Richland,South Carolina,5/31/2024,WOAH Non-Poultry,30
Cherokee,Iowa,6/3/2024,Commercial Turkey Meat Bird,100000
Jerome,Idaho,6/10/2024,WOAH Non-Poultry,30
Lyon,Minnesota,6/12/2024,Commercial Turkey Meat Bird,89500
Stearns,Minnesota,6/13/2024,Commercial Turkey Meat Bird,32900
Pipestone,Minnesota,6/18/2024,Commercial Turkey Meat Bird,70800
Swift,Minnesota,6/18/2024,Commercial Turkey Meat Bird,113600
Sac,Iowa,6/21/2024,Commercial Turkey Meat Bird,46100
Stearns,Minnesota,6/24/2024,WOAH Non-Poultry,310
Larimer,Colorado,6/26/2024,WOAH Non-Poultry,10
Otter Tail,Minnesota,6/27/2024,Commercial Turkey Meat Bird,67400
Morgan,Colorado,6/27/2024,WOAH Non-Poultry,40
Swift,Minnesota,6/27/2024,Commercial Turkey Meat Bird,25300
Weld,Colorado,7/8/2024,Commercial Table Egg Layer,1790800
Kandiyohi,Minnesota,7/9/2024,Commercial Turkey Breeder Toms,4200
Kandiyohi,Minnesota,7/9/2024,Commercial Turkey Breeder Hens,21900
Renville,Minnesota,7/9/2024,Commercial Turkey Breeder Hens,15400
Twin Falls,Idaho,7/11/2024,WOAH Non-Poultry,30
Weld,Colorado,7/16/2024,Commercial Table Egg Layer,1313800
Miami-dade,Florida,7/19/2024,Live Bird Market,320
Miami-dade,Florida,7/19/2024,Live Bird Market,390
Miami-dade,Florida,7/19/2024,Live Bird Market,80
Weld,Colorado,7/19/2024,Commercial Table Egg Pullets,300800
Hendry,Florida,7/24/2024,WOAH Non-Poultry,5
Miami-dade,Florida,8/5/2024,WOAH Poultry,5400
Hillsborough,Florida,8/20/2024,Live Bird Market,880
Orange,Florida,9/18/2024,Live Bird Market,2500
Merced,California,9/18/2024,Commercial Turkey Meat Bird,64800
Lincoln,Idaho,9/27/2024,WOAH Poultry,700
Canyon,Idaho,10/3/2024,WOAH Poultry,100
Miami-dade,Florida,10/7/2024,Live Bird Sales  (non-slaughter),70
Franklin,Washington,10/15/2024,Commercial Table Egg Layer,839700
Cache,Utah,10/15/2024,Commercial Table Egg Layer,1852900
Tulare,California,10/16/2024,Commercial Broiler Production,786600
Kitsap,Washington,10/17/2024,WOAH Non-Poultry,60
Clackamas,Oregon,10/23/2024,Commercial Table Egg Layer,150000
Tulare,California,10/24/2024,Commercial Broiler Production,6000
Crook,Oregon,10/25/2024,WOAH Non-Poultry,180
Lewis,Washington,10/25/2024,WOAH Non-Poultry,60
Tulare,California,10/29/2024,WOAH Non-Poultry,10
Kings,California,10/29/2024,Commercial Broiler Production,104500
Kings,California,10/29/2024,Commercial Broiler Production,305500
Kings,California,10/30/2024,Commercial Broiler Production,117200
Venango,Pennsylvania,10/30/2024,WOAH Non-Poultry,20
Fresno,California,10/30/2024,Commercial Broiler Production,204600
Jackson,Oregon,11/1/2024,WOAH Non-Poultry,60
Flathead,Montana,11/1/2024,WOAH Non-Poultry,40
Okanogan,Washington,11/1/2024,WOAH Non-Poultry,20
Stevens,Washington,11/1/2024,WOAH Non-Poultry,130
Sonoma,California,11/2/2024,WOAH Non-Poultry,30
Sacramento,California,11/2/2024,Commercial Turkey Meat Bird,48300
Snohomish,Washington,11/7/2024,WOAH Non-Poultry,170
Fresno,California,11/12/2024,Commercial Turkey Meat Bird,34800
Fresno,California,11/12/2024,Commercial Broiler Production,237700
Piute,Utah,11/12/2024,Commercial Turkey Meat Bird,37500
Kern,California,11/12/2024,Commercial Table Egg Layer,2155100
Missoula,Montana,11/12/2024,WOAH Poultry,280
Tulare,California,11/12/2024,WOAH Non-Poultry,120
Malheur,Oregon,11/13/2024,WOAH Non-Poultry,8
Pinal,Arizona,11/13/2024,Commercial Table Egg Layer,829200
Merced,California,11/14/2024,Commercial Turkey Meat Bird,53200
Kings,California,11/14/2024,Commercial Broiler Production,279300
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,17500
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,39600
Kings,California,11/14/2024,Commercial Broiler Production,53300
San Joaquin,California,11/14/2024,Commercial Broiler Production,29100
Kings,California,11/14/2024,WOAH Non-Poultry,8
Weld,Colorado,11/14/2024,WOAH Non-Poultry,80
Fresno,California,11/14/2024,Commercial Broiler Production,259000
Fresno,California,11/14/2024,Commercial Turkey Meat Bird,17700
Stanislaus,California,11/15/2024,Commercial Turkey Meat Bird,21500
Piute,Utah,11/15/2024,Commercial Turkey Meat Bird,35000
Honolulu,Hawaii,11/15/2024,WOAH Non-Poultry,70
Honolulu,Hawaii,11/18/2024,WOAH Non-Poultry,9
Martin,Minnesota,11/18/2024,WOAH Non-Poultry,40
Martin,Minnesota,11/18/2024,WOAH Non-Poultry,30
Fresno,California,11/19/2024,Commercial Broiler Production,172800
Henry,Illinois,11/19/2024,WOAH Poultry,5600
Whatcom,Washington,11/19/2024,WOAH Non-Poultry,40
Lake,South Dakota,11/19/2024,WOAH Non-Poultry,20
Merced,California,11/19/2024,Commercial Turkey Meat Bird,38200
Matanuska Susitna,Alaska,11/20/2024,WOAH Non-Poultry,40
Marin,California,11/20/2024,Commercial Duck Meat Bird,6500
Kern,California,11/20/2024,Commercial Table Egg Layer,1022400
Salt Lake,Utah,11/21/2024,WOAH Non-Poultry,30
Tulare,California,11/21/2024,Commercial Duck Meat Bird,96900
Maricopa,Arizona,11/21/2024,WOAH Non-Poultry,490
Roger Mills,Oklahoma,11/21/2024,WOAH Non-Poultry,40
Piute,Utah,11/21/2024,Commercial Turkey Meat Bird,35500
Madera,California,11/21/2024,WOAH Non-Poultry,10
Lemhi,Idaho,11/21/2024,WOAH Non-Poultry,20
Mchenry,North Dakota,11/22/2024,WOAH Poultry,80
Merced,California,11/22/2024,Commercial Table Egg Pullets,538600
Meeker,Minnesota,11/25/2024,Commercial Turkey Meat Bird,30500
Matanuska Susitna,Alaska,11/26/2024,WOAH Non-Poultry,70
Ransom,North Dakota,11/27/2024,Commercial Turkey Meat Bird,59500
Union,Oregon,11/27/2024,WOAH Non-Poultry,30
Faulk,South Dakota,11/27/2024,Commercial Turkey Meat Bird,56000
Meeker,Minnesota,11/27/2024,Commercial Turkey Meat Bird,24700
Sanpete,Utah,11/27/2024,Commercial Turkey Meat Bird,51800
Beadle,South Dakota,11/27/2024,Commercial Turkey Meat Bird,41100
Fresno,California,11/29/2024,Commercial Duck Breeder,23100
Merced,California,11/29/2024,Commercial Turkey Meat Bird,25200
Fresno,California,11/29/2024,Commercial Broiler Production,266400
Meeker,Minnesota,11/29/2024,Commercial Turkey Meat Bird,223800
Gibson,Tennessee,11/29/2024,Commercial Broiler Breeder,37700
Tulare,California,11/29/2024,Commercial Duck Breeder,26500
Bottineau,North Dakota,12/2/2024,WOAH Poultry,30
Douglas,Kansas,12/3/2024,WOAH Non-Poultry,100
Mcpherson,South Dakota,12/3/2024,Commercial Turkey Meat Bird,78200
Spink,South Dakota,12/3/2024,Commercial Turkey Meat Bird,41400
Fresno,California,12/3/2024,Commercial Broiler Production,237100
Adair,Oklahoma,12/3/2024,Commercial Broiler Breeder,63700
Utah,Utah,12/3/2024,WOAH Non-Poultry,30
Charles Mix,South Dakota,12/4/2024,Commercial Turkey Meat Bird,65200
Stanislaus,California,12/4/2024,Commercial Table Egg Layer,720800
Stanislaus,California,12/4/2024,Commercial Turkey Meat Bird,57700
Stanislaus,California,12/4/2024,Commercial Turkey Meat Bird,23100
Sacramento,California,12/4/2024,Commercial Turkey Meat Bird,61200
Riverside,California,12/4/2024,WOAH Non-Poultry,70
Merced,California,12/5/2024,Commercial Table Egg Layer,306100
Merced,California,12/5/2024,Commercial Table Egg Layer,793700
San Joaquin,California,12/5/2024,Commercial Duck Meat Bird,13000
Merced,California,12/5/2024,Commercial Table Egg Layer,1723800
Nemaha,Nebraska,12/6/2024,Commercial Turkey Breeder Hens,12400
Pitkin,Colorado,12/6/2024,WOAH Non-Poultry,50
Sioux,Iowa,12/6/2024,Commercial Table Egg Layer,4200000
Washakie,Wyoming,12/6/2024,WOAH Non-Poultry,20
Stanislaus,California,12/6/2024,WOAH Poultry,44100
Beadle,South Dakota,12/9/2024,Commercial Turkey Meat Bird,50600
Hutchinson,South Dakota,12/9/2024,Commercial Turkey Meat Bird,42800
Kern,California,12/9/2024,WOAH Poultry,45400
Lafayette,Arkansas,12/9/2024,WOAH Non-Poultry,40
Jefferson,Idaho,12/10/2024,WOAH Non-Poultry,60
La Plata,Colorado,12/10/2024,WOAH Non-Poultry,20
Jewell,Kansas,12/10/2024,WOAH Non-Poultry,40
Daviess,Missouri,12/10/2024,WOAH Poultry,19900
Franklin,Idaho,12/10/2024,WOAH Non-Poultry,40
Stanislaus,California,12/10/2024,Commercial Duck Breeder,82600
Cedar,Missouri,12/10/2024,WOAH Non-Poultry,20
Tulare,California,12/10/2024,Commercial Broiler Production,330200
Charles Mix,South Dakota,12/10/2024,Commercial Turkey Meat Bird,32400
Beadle,South Dakota,12/10/2024,Commercial Turkey Meat Bird,52200
Moody,South Dakota,12/10/2024,Commercial Turkey Meat Bird,46700
Adair,Oklahoma,12/11/2024,WOAH Poultry,40000
Sioux,Iowa,12/11/2024,Commercial Table Egg Layer,1575700
Dodge,Nebraska,12/11/2024,WOAH Non-Poultry,10
Brule,South Dakota,12/11/2024,Commercial Turkey Meat Bird,50900
Palo Alto,Iowa,12/11/2024,Commercial Turkey Meat Bird,31100
Craighead,Arkansas,12/12/2024,WOAH Non-Poultry,10
Pope,Arkansas,12/12/2024,WOAH Non-Poultry,40
Sac,Iowa,12/12/2024,Commercial Turkey Meat Bird,45200
Kingsbury,South Dakota,12/12/2024,Commercial Turkey Meat Bird,39300
Barron,Wisconsin,12/13/2024,Commercial Turkey Breeder Hens,13200
Tulare,California,12/13/2024,Commercial Broiler Production,514500
Livingston,Illinois,12/13/2024,Commercial Turkey Breeder Hens,40500
Bossier,Louisiana,12/14/2024,WOAH Non-Poultry,40
Monterey,California,12/14/2024,Commercial Duck Breeder,13700
Tulare,California,12/14/2024,Commercial Duck Meat Bird,41100
Merced,California,12/14/2024,Commercial Duck Meat Bird,119000
Sarpy,Nebraska,12/16/2024,WOAH Non-Poultry,30
Merced,California,12/16/2024,Commercial Table Egg Pullets,424700
Merced,California,12/16/2024,Commercial Turkey Meat Bird,53100
Bon Homme,South Dakota,12/17/2024,Commercial Turkey Meat Bird,48700
Charles Mix,South Dakota,12/17/2024,Commercial Turkey Meat Bird,74800
Lancaster,Nebraska,12/17/2024,WOAH Poultry,290
Charles Mix,South Dakota,12/17/2024,WOAH Poultry,1800
Sioux,Iowa,12/17/2024,Commercial Table Egg Layer,428600
Monona,Iowa,12/17/2024,WOAH Non-Poultry,30
Worth,Iowa,12/17/2024,Commercial Turkey Meat Bird,19500
Lemhi,Idaho,12/17/2024,WOAH Non-Poultry,20
Stanislaus,California,12/17/2024,Commercial Turkey Meat Bird,33100
Lemhi,Idaho,12/17/2024,WOAH Non-Poultry,150
O'brien,Iowa,12/17/2024,Commercial Table Egg Layer,351400
Rooks,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5300
Doniphan,Kansas,12/18/2024,Commercial Raised for Release Upland Game Bird,5700
Nelson,North Dakota,12/18/2024,WOAH Non-Poultry,60
Howard,Missouri,12/18/2024,WOAH Non-Poultry,60
Jefferson Davis,Louisiana,12/18/2024,WOAH Non-Poultry,30
Greene,Ohio,12/19/2024,WOAH Poultry,110
Stearns,Minnesota,12/19/2024,Commercial Turkey Meat Bird,12600
Coos,Oregon,12/19/2024,WOAH Non-Poultry,40
Deschutes,Oregon,12/19/2024,WOAH Non-Poultry,90
Jackson,Arkansas,12/19/2024,WOAH Non-Poultry,230
Pickens,Alabama,12/19/2024,WOAH Non-Poultry,50
Fillmore,Minnesota,12/19/2024,Commercial Turkey Meat Bird,28600
Cullman,Alabama,12/19/2024,Commercial Broiler Production,116000
Stanislaus,California,12/19/2024,Commercial Table Egg Layer,295800
Kenosha,Wisconsin,12/19/2024,WOAH Poultry,6
Cooper,Missouri,12/20/2024,Commercial Turkey Breeder Hens,13000
Craighead,Arkansas,12/20/2024,WOAH Non-Poultry,50
Sedgwick,Kansas,12/20/2024,WOAH Non-Poultry,30
Houston,Minnesota,12/20/2024,WOAH Non-Poultry,60
Greene,Mississippi,12/20/2024,Commercial Broiler Breeder,26000
Chippewa,Minnesota,12/20/2024,Commercial Turkey Meat Bird,54800
Ottawa,Michigan,12/23/2024,Commercial Turkey Meat Bird,75500
El Dorado,California,12/23/2024,WOAH Non-Poultry,30
Lawrence,Illinois,12/23/2024,Commercial Turkey Meat Bird,41400
Cass,Missouri,12/24/2024,WOAH Non-Poultry,60
